sentence_id	sentence	label
72	696 sayılı khk ile Belediye Taşeronlarına sadece şirket işçiliği verildi	OBJ
73	CHP’li Emir’den Bakan Ersoy’a ‘Fuat Oktay’ sorusu: Keman sanatçıları zorla mı getirildi?	OBJ
74	Cumhurbaşkanımız her zaman mağdurun yanında olmuştur ve yine mağdurdan yana olacaktır. 	SUBJ
75	Birazdan CHP,ye ait olan belediyesinin önünden ellerim arkamda geçeceğim	OBJ
76	İYİKİ VARSIN UZUN ADAM	SUBJ
77	Cumhurbaşkanı Erdoğan Belgrad Kulesi’ni ziyaret etti!	OBJ
78	"Özgür basını susturamazsınız bunu tarihten, Musa Anter'den, Ferhat Tepe'den biliyorsunuz diyen HDP Milletvekili Musa Piroğlu, gazetecileri işaret etti ve halka şu çağrıyı yaptı: ""Sesimizi duyuran bu bir avuç gazeteci ya onlarla oluruz ya da sesimizin kısılmasına göz yumarız!"""	OBJ
79	Erdoğan ile görüşmek için bekleyen Putin’in, heyetle selamlaşan ve karşısındakini öpen İbrahim Kalın'ın hareketleri dikkatini çekti. 	OBJ
80	CHP'NİN HEYKEL VE YUNAN TANRIÇA SEVDASI BİTMEZ	SUBJ
81	AKP ve MHP seçim mitinglerine başladı.	OBJ
82	Bana AKP trolü müsün ? dedi .	OBJ
83	Bir kare herşeyi anlatır...	SUBJ
84	#akaryakıt da #brentpetrol fiyatları 84 dolara düştü	OBJ
85	Hem ordu, hem halk arkanda	SUBJ
86	Bakırlıoğlu; ‘‘Halkın Gerçek Enflasyonu Market Fiyatlarında’’	OBJ
87	Orospu çocuğu Ömer Erdoğan taraftarın Beşiktaş'a saldırmasını, taraftara teşekkür ederek karşıladı	SUBJ
88	"Fahrettin Altun diyor ""Masada KCK var, PKK var"" diyor ""HDP daha önemli bir aktör olmalı"" diyor TRT'de diyor..."	OBJ
89	Recep Tayyip Erdoğan yanında önce Allah sorra ümmeti Muhammed Türkiye milleti var	SUBJ
90	SON DAKİKA ..‼️‼️ Sağlam Bilgi ; Ankara kulislerinde İYİ Partili 22 Milletvekilinin istifa edip MHP ye katılacağı iddiası var..	OBJ
91	CHP; iktidarı Adnan Menderes başta olmak üzere bu partiye oy veren tertemiz insanların âhını/bedduasını aldığı için de hiçbir zaman iflah olmamıştır...	SUBJ
92	Haçlı kahramanları arasına girmek isteyen Kral Konstantin’in Anadolu’ya ulaştırmaya memur edildiği medeniyetin eserleri; yangın yerleri ve ihtiyar kadın ve çocuk cesetleridir. - M. Kemal ATATÜRK	OBJ
93	CHP'li Kumluca Belediyesi işçileri, yasal haklarını alamadıkları ve belediyenin toplu iş sözleşmesi görüşmeleri için aylardır kendileriyle masaya oturmadıklarını ifade ederek greve gitme kararı aldı.	OBJ
94	AKŞENER KILIÇDAROĞLU'NA FENA KAZIK ATTI! 	SUBJ
95	AK PARTİ olarak biz, MİLLET İTTİFAKINI seçim meydanlarında sırtını yere getirme şansımızın çok artmasına rağmen dağılmasına çok üzülürüz.	OBJ
96	Söylendiği gibi ekonomisi şahlanmış, gelişmiş ve kıskanılan bir ülkeysek eğer,tip 1 diyabetli çocuklar neden hala tam destek alamıyor ve neden hala insülin konusuna dış ülkelere bagimliyiz	SUBJ
97	Neredeyse sevinçten göbek atacak !	SUBJ
98	Kemâl ağa adaymış hayırlı olsun	SUBJ
99	Akşener basına seslendi: Emekçilerin günlük hayatlarını yaşanır hale getirin	OBJ
100	“Gazilerimiz bağımsızlığımıza zincir vurmak isteyen düşman çevrelere iman gücüyle direnen, milli azimle karşı çıkan kahramanlarımızdır.” Lider Devlet Bahçeli	SUBJ
101	DEVA Partisi, engelli, yaşlı ve bakıma muhtaç aylıklarının alım gücünü arttırmak, insan onuruna yaraşır bir yaşam için geliyor.	SUBJ
102	Muhalefet Akparti’den en az %10 oy koparabilecek bir aday çıkartmazsa seçimi kazanmaları çok zor olur	SUBJ
103	Süresiz nafaka yasasına defalarca düzenleme sözü veren cumhurbaşkanı verdiği sözü tutmadı	OBJ
104	Kılıçdaroğlu: KHK’lıların tamamını görevlerine iade edeceğiz	OBJ
105	Yalan söylemekten bıkmadık mı CHP li gardaşlarım	SUBJ
106	Taşeron işçilere verilen kadro lisans mezunu eğitimci ücretli öğretmenlerden esirgenmemeli.	SUBJ
107	İmamoğlu'nun İsmail Küçükkaya hamlesi Halk TV'de depreme neden oldu.	SUBJ
108	Erdoğan da Tunç Soyer'i hedef aldı: Ecdadına sövdürmeye çalışan köksüzler...	OBJ
109	CHP Lideri Kılıçdaroğlu: Türkiye’de Yasama, Yürütme, Yargı Yok, Demokrasi Askıda	OBJ
110	Cumhurbaşkanı Erdoğan: Seçimleri kazanma noktasında endişemiz yok, meydanların dilini iyi bilirim 	OBJ
111	Adil yargilanmadik	SUBJ
112	Rapora göre, bitmeyen Kuzey Marmara otoyol inşasında kamu zararı tam 647 milyon $ (12 milyar ₺).	OBJ
113	Diyarbakır Türkiye Kürdistanı'nda bir şehir' demişti	OBJ
114	Kılıçdaroğlu, 5’li çeteye seslendi: Araya adam koyuyorlar; siz beni ikna edemezsiniz!	SUBJ
115	Twitter'da taglere bak Recep Tayyip Erdoğan Meral Akşener Muharrem İnce Kemal Kılıçdaroğlu...	OBJ
116	CHP milletvekili şovmen Mahmut Tanal daha 20 gün önce vefat eden Öz amcasının karısının(yengesinin) taziyesine gitmezken, Konu Şanlıurfa'nın bilindik isimlerinden birinin taziyesi olunca aşağıdaki fotoğrafı servis ediyor..	SUBJ
117	Ben tercihimi İcardi'den kullanıyorum Mansur başkan kusura bakma.	OBJ
118	İYİ Parti'yi kurup, bizi bu iktidara ve muhalif görünümlü hainlere mecbur bırakmadığı için Allah Meral Akşener ve tüm dava arkadaşlarından razı olsun.	SUBJ
119	chp her yere kiralık vekil veriyorda, yanında bonus vekilde vermeli 2 adet.	SUBJ
120	PKK/KCK'nın propagandasını yaptıkları belirlenen, CHP’li Mersin Büyükşehir Belediyesi Basın Yayın ve Halkla İlişkiler Dairesi Başkanı Bedrettin Güneş ve 17 belediye personelinin de olduğu 30 şüpheli hakkında gözaltı kararı çıkarıldı.	OBJ
121	Müjdesini Cumhurbaşkanı Erdoğan vermişti! 	OBJ
122	İP'e oy verenler bu zehirli dilden de ziyadesiyle muzdariptir.	SUBJ
123	AKP’nin ekonomi politikaları neden, #enflasyon sonuçtur!	SUBJ
124	Tembel embesil chp kafalılar açlıktan geberiyorlarmış	SUBJ
125	Mansur Yavaş Ankara yazmış	OBJ
126	IYI parti iki bakanlık biraz Kürt kanı dökülmesi karşılığında, Erdoğan'ın ayağının altını yalayıp Cumhur ittifakına geçer.	SUBJ
127	FETOCU HAİNLER, PKK LI İBLİSLER, DHKPLİ SOYSUZLAR SEVİNİN !!!!	SUBJ
128	İBB CHP Grup Sözcüsü Tarık Balyalı, AKP Grubu'ndan yöneltilen ifadelere yanıt verdi.	OBJ
129	Emine Erdoğan, Uluslararası Pediatri Kurumu heyetini kabul etti.	OBJ
130	Ali Babacan Tunceli’de: ‘Kürt meselesini de Alevi meselesini de çözmenin tam zamanıdır’	OBJ
131	Erdoğan’ın oyları eridi, Kemal Kılıçdaroğlu fark atıyor	OBJ
132	 Mhp dışındaki ülkücüler yahudi dükkanına asılmış besmele gibidir   ALPARSLAN TÜRKEŞ.	OBJ
133	Sedat Peker’in ifşaları sonrası CHP’den mafya raporu: Türkiye kara para cenneti oldu, narkopolitik iktidar kuruldu 	OBJ
134	BELEDİYE ŞİRKET İŞÇİLERİ kadro almamıştır	OBJ
135	MHP milletvekilleri Irak'ın sıfır noktasında.	OBJ
136	ERDOĞAN 6’LI MASAYA YÜKLENDİ	OBJ
137	Başkan Erdoğan New York'ta! 	OBJ
138	İsveç silah ambargosunu sözde kaldırmış.	SUBJ
139	Sayın Bakanım, 516 bin sözleşmeliye kadro müjdesi demişsiniz.	OBJ
140	Milletvekili Tutdere, köylülerle bir araya geldi.	OBJ
141	Din üzerinden birbirimizi yiyoruz Mustafa Kemal Atatürk üzerinden birbirimizi yiyoruz.	SUBJ
142	"CHP'li Kuşoğlu'nun ""Kılıçdaroğlu aday olmazsa 6'lı masa dağılır"" sözü Kılıçdaroğlu'nu kızdırdı"	OBJ
143	Dün akşam CHP Kadın Kolları olarak Aysel Aslan, Yusuf Ferik'in Sen de gel down kafede ve Karen Beste ile Doğa'lın civcivli Ahmet Ağa meydanındaki kına gecelerine katıldık	OBJ
144	Recep Tayyip Erdoğan ı indirmek istemelerinini asıl hedefi bu ilerlemeyi durdurmak bu milleti kökü dışarda olan millet ittifakına teslim etmek.	SUBJ
145	"AKP nin yaptığı metroya, Marmaraya""biz yaptık!""diye sahip çıkanlar;bırakın yapmayı,yepyeni devraldığınız bu yerlerin v araçların bakımnı yapsaydnız ona da razıydık,ama sayenzde hepsi hurdaya döndü."	SUBJ
146	Genel Başkanımız Kemal Kılıçdaroğlu ve Gelecek Partisi Genel Başkanı Ahmet Davutoğlu’nun katılımıyla Bakırköy Cem Karaca Sahnesi’nde gerçekleştirilen Hür Düşünce Hareketi Genel Kurulu’na katıldık.	OBJ
147	Cumhuriyeti Halk Partisi Genel Başkanı Kemal Kılıçdaroğlu Adaylığını ilan etti.	OBJ
148	Ahmet Hakan yazdı: Erdoğan: Rehine takası barış fırsatı	OBJ
149	Düne kadar tuvalet terliği konsa düşünmeden ona atacağız diyenler şimdi Kılıçdaroğlu aday olmasın diye yalvarıyor.	SUBJ
150	Kemal Kılıçdaroğlu Sakarya'da konuştu.	OBJ
151	Çökmüş,batmış,istila edilmiş ülkemde Vahdettin lafı duymak istemiyorum.	SUBJ
152	Cumhurbaşkanı Erdoğan: CHP devletin dediğine kulak vermeliydi, devlete kulak verseler utanacak hale düşmezlerdi. CHP bir milli güvenlik sorunudur.	OBJ
153	Cumhurbaşkanı Erdoğan'ın açıklamalarına dikkat çekti! 	OBJ
154	#KılıçdaroğluAdayOlma diyorlar!	OBJ
155	Metrobüs kazası sonrası olay yerine giden AKP Gençlik Kolları üyesi bir kadın canlı yayın yaparak “Binlerce yaralı ve sayısı belli olmayacak kadar ölü” olduğu iddiasında bulunarak provokasyon yaptı.	SUBJ
156	Öldük battık diye ağlaya ağlaya hakemlerin tüpçü federasyonunun torpilleriyle şampiyon olan Hasan Çebi tam olarak Turk Sporundaki AKP yansımasıdır.	SUBJ
157	TASC, Cumhurbaşkanı Erdoğan ile ABD Türk toplumunu New York'ta bir araya getirdi 	OBJ
158	Adamların ağızındaki lokmayı aldı, çocuklarının geleceğini aldı, yinede AKP diyorlar.	SUBJ
159	"CHP Parti Meclisi Üyesi Nevaf Bilek: ""Diyarbakır, Kürdistan'ın bir parçasıdır.”               "	OBJ
160	BTSO, Yed-i Velayet 7 Vilayet Kısa Film Festivaline Ev Sahipliği Yaptı.	OBJ
161	AYRIMSIZ TÜM KAMU ÇALIŞANLARINA KADRO ŞARTTIR. 	SUBJ
162	HDP ile görüşmeyiz diyen @meral_aksener AKP ile flört ediyor demektir.	SUBJ
163	AKP Doğalgaz ve Elektriğe %20 zam yaptı.	OBJ
164	Gecemize güzel çocuklarımız ile notumuzu bırakılım.  	SUBJ
165	Van'MHP Programının 3 gününde Tuşba Teşkilatımızın tertip ettiği Adım Adım 2023;İlçe İlçe Anlatma ve Aydınlatma programımıza, Genel Sekreter Yardımcısı İzmir Mv Tamer OSMANAĞAOĞLU MYK Üyelerimiz Abdullah BAHADIR Turan ŞENER Burak PEHLİVAN Abdulselam ARVAS ile katılım Sağladılar.	OBJ
166	Bilal Erdoğan: ‘Daha inançlı bir nesil yetişsin istiyoruz’	OBJ
167	Ali Babacan: “Gençlerin barınma ve gıda sorunlarından biraz nefes alıp birkaç saat geçirmeleri gözüne batıyor. Konser dediği o. Bir zamanlar dünyanın en meşhur sanatçıları Türkiye’de konser verdi. Türkiye sanat merkezi haline geldi.	OBJ
168	"Emine Erdoğan (@EmineErdogan): ""(Uluslararası Başarı ve Topluma Katkı Ödülü Programı) Medeniyet karnemiz, zarafetiyle insanı hayrete düşüren bir hayır yarışının örnekleriyle dopdoludur."""	OBJ
169	Tam da Yılmaz Erdoğan dinlemelik bir gece	SUBJ
170	Az önce telefonla bulunduğum mahallenin chp başkanı ilan edildim	OBJ
171	AKP Faşizmi kendine yakışan zulmü uyguluyor.	SUBJ
172	Haberler: MetroPOLL'ün son anket sonuçları bomba!	SUBJ
173	"GÜRSEL TEKİN DEN İYİ PARTİ'YE ""HDP'ye meclis başkanlığı veriyorsunuz, bakanlığa gelince mi iş değişiyor. Başkanlık, bakanlıktan daha mı küçük bir makam? Süreç sağlıklı gitsin diye susuyoruz ama koyun değiliz"""	OBJ
174	Uydu olmayı reddedip, Dik duran, Erdoğan ve Türkiye'yi çekemeyen MUHALEFET KARIŞTI 	SUBJ
175	Önümüzdeki günlerde en çok  duyacağımız cümleler, -Kim ben mi Akp ye oy vermişim ?  -işim yürüsün diye Akp’liyim diyordum birader. -Ne akpsi ben boş oy atıyordum  -ben oy kullanmaya bile gitmiyordum -Oy verdiysem ne olayım  -Sensin Akpli .	SUBJ
176	Mağdruriyetimizin giderilmesi için bölge İdare Mahkemesinin de onayladığı Ek 15 bin atamanın 2020 kpss mağdurlarına iade edilmesini istiyoruz. 	SUBJ
177	Kulis: AKP, Binali Yıldırım başkanlığında Akiller Birimi kuracak.	OBJ
178	Kemal Kılıçdaroğlu ; “Elinizi vicdanınıza koyun !  Benim Erdoğan’dan ne eksiğim var?”	OBJ
179	Kemal Kılıçdaroğlu: 5'li çeteler, varlıkçılar, çantacılar; bu ülkenin ikinci 100 yılında siz olmayacaksınız	OBJ
180	60 bin adet eğitim yardımı çeki AKP'lilere dağıtıldı	OBJ
181	Derdimiz vatan bayrak!	SUBJ
182	Cumhurbaşkanı Erdoğan, Japonya Başbakanı Kişida ile görüştü	OBJ
183	#CANLI | Şanghay İşbirliği Örgütü toplanıyor	OBJ
184	Ne Mutlu Türk'üm Diyene	SUBJ
185	Sahadaki CHP’ anketleri etkiledi: Elazığ, Erzurum, Sakarya, Diyarbakır, Van, Kayseri...	OBJ
186	Ali Babacan: Altı parti bir arada bu seçimi almalıyız , mecliste' ki çoğunluğu almalıyız ! 	OBJ
187	Saat 23.28 ve biz uyumamız gereken bu saatte twit atıyoruz hakkımız olanı almak için.	SUBJ
188	"CHP Grup Başkanvekili Özgür Özel: ""Biz Jön Türklerin, İttihat ve Terakki’nin tarafındayız."""	OBJ
189	#izmir'de siyaset ısındı...	OBJ
190	Toplu konut başvurumu iptal ediyorum ödeyemem #EhliyetAffı olmadan	OBJ
191	Akp’ye hiç oy vermemiş olmanın haklı gururunu yaşıyorum..	SUBJ
192	#Mersin, ülkemizin hayat damarı.	SUBJ
193	Staj sigorta başlangıcı olsun bu büyük mağduriyet son bulsun..	SUBJ
194	geldiğimiz şu noktada bile hâlâ akp diyebiliyosanız pes	SUBJ
195	Akp genel başkanı ne diyor dost ülkelerden aldığımız borçlarla merkez bankası güçleniyor	OBJ
196	Bakan Bozdağ ve AKP’li vekiller, Başbuğ ve Çiçek hakkındaki şikayetlerini geri çekti.	OBJ
197	Kılıçdaroğlu TMO’ya Seslendi: Fiyatı belirleyin Malatyalı biraz nefes alsın	OBJ
198	TAŞERON ŞOFÖRLER Ölüme En Yakın VE Ucuza Çalışan Kişilerdir.	SUBJ
199	BBC Türkçe: ‘Erdoğan, danışmanı Serkan Taranoğlu’nu görevden aldı’ 	OBJ
200	AKP'den Soyer'i destekleyen sözler: İşgalcilerle işbirliği yapanlar tablonun dışındadır.	OBJ
201	Semra Güzel adliyeye sevk edildi.	OBJ
202	Mansur Yavaş aday olması için 6 lı masanın onay vermesine gerek yok.	OBJ
203	Ümit Özdağ ; Süleyman Soylu ile yapacağı dövüş için sıkı hazırlık yapıyor kerata.	SUBJ
204	CHP'nin ücretsiz servis vaadi havada kaldı	OBJ
205	Akparti İstanbul il Divanımıza katılımları ile onurlandıran,Genel Başkanımız, Cumhurbaşkanımız Sayın @RTErdogan Hitapları ile Devam ediyor.	OBJ
206	Bu oylar imzana sonsuz güvendir Ananın ak sütü gibi helaldir	SUBJ
207	Hiç boşuna uğraşmayın!	SUBJ
208	▪️Faşist Erdoğan hükümeti, Zindanlarda kendisinden olmayan insanların yaşam hakkına saldırıp, katletmektdir. 	SUBJ
209	 ERDOĞAN BUNLARI NEREDEN BULUR ANLAMAK MÜMKÜN DEĞİL.	SUBJ
210	Güney Kıbrıs: Savaştan büyük endişe duyuyoruz ama asıl tehdit eden Erdoğan	OBJ
211	UNUTMA!	SUBJ
212	Kılıçdaroğlu, Saadet Partisi Genel Başkanı Temel Karamollaoğlu'nu ziyaret etti 	OBJ
213	Çatalkaya mahallemizdeyiz.	OBJ
214	İKTİDAR STAJIMIZI BORÇLANDIRIR, EMEĞİMİZİ SİGORTA BAŞLANGICI SAYAR  DEDİK.	OBJ
215	Tartışma bitti.	OBJ
216	Zafer beyonur beye soylermisin cumhurbaşkanının söz verip bitirmedigi bir projeyi savunduğu CHP açılmış metro saftlarini kapatti	OBJ
217	#Erdoğan: Enflasyonun düşük faizle ineceğine inanıyorum.	OBJ
218	SALONDAKİ GENÇLER HEP BİR AĞIZDAN BAĞIRDI: ERDOĞAN KIRMADI	OBJ
219	BU ÜLKEDE ADETA HER EVE ATEŞ DÜŞERKEN BU  KANLA CANLA KORUNAN VATAN TOPRAĞI HDP PKK MELUNLARININ ABD NİN OYUNLARINA FEDA EDİLEMEZ BÖLÜNMESİNE MÜSAD EDİLEMEZ	SUBJ
220	İyi Parti Lideri Meral Akşener Şanlıurfa'da Binlerce Kişiyle Karşılandı.	OBJ
221	Osmanlının Anadoluda tek eserini gösterin	OBJ
222	Cumhurbaşkanı Erdoğan, Bosna-Hersek-Türkiye İş Forumu'nda konuşuyor.	OBJ
223	AKP'li taşıma seçmenle, MHP mitingi bile gördük.	SUBJ
224	Size bu basın açıklamasını yaptıran tek duygu VİCDANSIZLIK !!!	SUBJ
225	MHP’nin kurucu üyesi bile artık Ak Parti’ye oy yok dedi!	OBJ
226	Asgari ücretlinin alım gücü, 2001 seviyesine RAMAK kaldı	SUBJ
227	Zillet ittifakı yarınlarımızda perde çekemeyecek, büyük Türkiye'nin doğuşuna engel olamayacak, HDP PKK ve fetö ile çok sıkı bir ittifak içindeler Türkiye düşmanlarının emrindeler	SUBJ
228	Kılıçdaroğlu aday olsa seçim gecesi Işıklar yine sönecek.	SUBJ
229	Akp bayagı inanmıştı heveslenmişti sevinmişti kilictaroglunun aday olacağı için amma meral hanım sevincini hevesini boğazına tıkadı.	SUBJ
230	"TİP Genel Başkanı Erkan Baş: ""AKP’yi, Erdoğan'ı sandığa gömmekle yetinmeyeceğiz. Bir daha ülkemizin başına böyle belalar gelmesin diye onların zihniyetini de tarihe gömeceğiz."""	OBJ
231	"Ulusal Kanal: Devlet Bahçeli: ""Asıl stratejik tehdit ABD'dir""""... "	OBJ
232	Bakanımıza ve Cumhur ittifakına güveniyoruz.	OBJ
233	İYİPARTİ'den İstifa kararı geldi!	OBJ
234	Erdoğan, Moğolistan Cumhurbaşkanı ile görüştü.	OBJ
235	CHP eski Milletvekili Barış Yarkadaş:  “HDP’nin verdiği oyla kazanılan belediyelerden İYİ Partililer ihaleler aldılar, tek tek biliyorum… Konuşturmasınlar beni!”	OBJ
